,Symbol
0,AACG
1,AACI
2,AACIU
3,AACIW
4,AADI
5,AADR
6,AAL
7,AAME
8,AAOI
9,AAON
10,AAPB
11,AAPD
12,AAPL
13,AAPU
14,AATC
15,AAWW
16,AAXJ
17,ABCB
18,ABCL
19,ABCM
20,ABEO
21,ABGI
22,ABIO
23,ABMD
24,ABNB
25,ABOS
26,ABSI
27,ABST
28,ABUS
29,ABVC
30,ACAB
31,ACABU
32,ACABW
33,ACAC
34,ACACU
35,ACACW
36,ACAD
37,ACAH
38,ACAHU
39,ACAHW
40,ACAX
41,ACAXR
42,ACAXU
43,ACAXW
44,ACB
45,ACBA
46,ACBAU
47,ACBAW
48,ACCD
49,ACDC
50,ACDCW
51,ACER
52,ACET
53,ACGL
54,ACGLN
55,ACGLO
56,ACHC
57,ACHL
58,ACHV
59,ACIU
60,ACIW
61,ACLS
62,ACLX
63,ACMR
64,ACNB
65,ACNT
66,ACON
67,ACONW
68,ACOR
69,ACQR
70,ACQRU
71,ACQRW
72,ACRS
73,ACRV
74,ACRX
75,ACST
76,ACT
77,ACTG
78,ACVA
79,ACWI
80,ACWX
81,ACXP
82,ADAG
83,ADAL
84,ADALU
85,ADALW
86,ADAP
87,ADBE
88,ADD
89,ADEA
90,ADER
91,ADERU
92,ADERW
93,ADES
94,ADI
95,ADIL
96,ADILW
97,ADMA
98,ADMP
99,ADN
100,ADNWW
101,ADOC
102,ADOCR
103,ADOCW
104,ADP
105,ADPT
106,ADRE
107,ADSE
108,ADSEW
109,ADSK
110,ADTH
111,ADTHW
112,ADTN
113,ADTX
114,ADUS
115,ADV
116,ADVM
117,ADVWW
118,ADXN
119,AEAC
120,AEACU
121,AEACW
122,AEAE
123,AEAEU
124,AEAEW
125,AEHA
126,AEHAU
127,AEHAW
128,AEHL
129,AEHR
130,AEI
131,AEIS
132,AEMD
133,AEP
134,AEPPZ
135,AERC
136,AEY
137,AEYE
138,AEZS
139,AFAC
140,AFACU
141,AFACW
142,AFAQ
143,AFAQU
144,AFAQW
145,AFAR
146,AFARU
147,AFARW
148,AFBI
149,AFCG
150,AFIB
151,AFMD
152,AFRI
153,AFRIW
154,AFRM
155,AFYA
156,AGAE
157,AGBA
158,AGBAW
159,AGEN
160,AGFS
161,AGFY
162,AGGR
163,AGGRU
164,AGGRW
165,AGIL
166,AGILW
167,AGIO
168,AGLE
169,AGMH
170,AGNC
171,AGNCL
172,AGNCM
173,AGNCN
174,AGNCO
175,AGNCP
176,AGNG
177,AGRI
178,AGRIW
179,AGRX
180,AGYS
181,AGZD
182,AHCO
183,AHG
184,AHI
185,AHPI
186,AHRN
187,AHRNU
188,AHRNW
189,AIA
190,AIB
191,AIBBR
192,AIBBU
193,AIH
194,AIHS
