,Symbol
0,A
1,AA
2,AAA
3,AAAU
4,AAC
5,AAC.U
6,AAC.W
7,AAIC
8,AAIC$B
9,AAIC$C
10,AAIN
11,AAM$A
12,AAM$B
13,AAMC
14,AAN
15,AAP
16,AAQC
17,AAQC.U
18,AAT
19,AAU
20,AB
21,ABB
22,ABBV
23,ABC
24,ABEQ
25,ABEV
26,ABG
27,ABM
28,ABR
29,ABR$D
30,ABR$E
31,ABR$F
32,ABT
33,AC
34,ACA
35,ACAQ
36,ACAQ.U
37,ACAQ.W
38,ACCO
39,ACDI
40,ACDI.U
41,ACDI.W
42,ACEL
43,ACES
44,ACHR
45,ACHR.W
46,ACI
47,ACIO
48,ACM
49,ACN
50,ACP
51,ACP$A
52,ACR
53,ACR$C
54,ACR$D
55,ACRE
56,ACRO
57,ACRO.U
58,ACRO.W
59,ACSI
60,ACTV
61,ACU
62,ACV
63,ACVF
64,ACWF
65,ACWV
66,ADC
67,ADC$A
68,ADCT
69,ADEX
70,ADEX.U
71,ADEX.W
72,ADFI
73,ADIV
74,ADM
75,ADME
76,ADNT
77,ADPV
78,ADRA
79,ADRA.U
80,ADRA.W
81,ADRT
82,ADRT.U
83,ADT
84,ADX
85,AE
86,AEE
87,AEF
88,AEFC
89,AEG
90,AEL
91,AEL$A
92,AEL$B
93,AEM
94,AEMB
95,AENZ
96,AEO
97,AER
98,AES
99,AESC
100,AESR
101,AEVA
102,AEVA.W
103,AFB
104,AFG
105,AFGB
106,AFGC
107,AFGD
108,AFGE
109,AFIF
110,AFK
111,AFL
112,AFLG
113,AFMC
114,AFSM
115,AFT
116,AFTR
117,AFTR.U
118,AFTR.W
119,AFTY
120,AG
121,AGAC
122,AGAC.U
123,AGAC.W
124,AGCB
125,AGCO
126,AGD
127,AGE
128,AGG
129,AGGH
130,AGGY
131,AGI
132,AGIH
133,AGL
134,AGM
135,AGM$C
136,AGM$D
137,AGM$E
138,AGM$F
139,AGM$G
140,AGM.A
141,AGO
142,AGOV
143,AGOX
144,AGQ
145,AGR
146,AGRH
147,AGRO
148,AGS
149,AGTI
150,AGX
151,AGZ
152,AHH
153,AHH$A
154,AHHX
155,AHL$C
156,AHL$D
157,AHL$E
158,AHOY
159,AHT
160,AHT$D
161,AHT$F
162,AHT$G
163,AHT$H
164,AHT$I
165,AHYB
166,AI
167,AIC
168,AIEQ
169,AIF
170,AIG
171,AIG$A
172,AILG
173,AILV
174,AIM
175,AIN
176,AINC
177,AIO
178,AIR
179,AIRC
180,AIRI
181,AIT
182,AIU
183,AIV
184,AIVI
185,AIVL
186,AIZ
187,AIZN
188,AJG
189,AJRD
190,AJX
191,AJXA
192,AKA
193,AKO.A
194,AKO.B
195,AKR
196,AL
197,AL$A
198,ALB
199,ALC
200,ALCC
201,ALE
202,ALEX
203,ALG
204,ALIT
205,ALK
206,ALL
207,ALL$B
208,ALL$G
209,ALL$H
210,ALL$I
211,ALLE
212,ALLG
213,ALLG.W
214,ALLY
215,ALSN
216,ALTG
217,ALTG$A
218,ALTL
219,ALV
220,ALX
221,AM
222,AMAM
223,AMAX
224,AMBC
225,AMBC.W
226,AMBO
227,AMBP
228,AMBP.W
229,AMC
230,AMCR
231,AME
232,AMG
233,AMH
234,AMH$G
235,AMH$H
236,AMJ
237,AMK
238,AMLP
239,AMN
240,AMNA
241,AMND
242,AMOM
243,AMOV
